,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid,flux,timedays,simulated_flux,simulated_mag,original_mag
66,793110400000661,47828268,2458232.7848723517,58232.2826852,19.4166603,0.0876320899,0,zg,226.8301979,55.7471164,0.686999977,-0.134000003,20180424282650,793,0xa,0x4,21.0400009,26.2750187,0.0315108262,-0.0734343752,2.20041074e-05,30,1.13999999,2,0.06213493952784918,58232.2826852,0.06213493952784918,19.416660299999997,19.416660299999997
67,793110400000661,47930638,2458233.8085586443,58233.3063889,19.5725136,0.0987180471,0,zg,226.8302209,55.7471918,0.81400001,0.00700000022,20180425306354,793,0xa,0x4,21.2399998,26.2606201,0.0346431136,-0.0469557419,2.63925267e-05,30,1.102,2,0.05382630401573588,58233.3063889,0.05382630401573588,19.5725136,19.5725136
68,793110400000661,48030733,2458234.8094901387,58234.307338,19.6329117,0.103332087,0,zg,226.8301778,55.7472064,0.80400002,-0.215000004,20180426307292,793,0xa,0x4,20.6700001,26.1541595,0.0312398914,-0.0359107293,2.5878031e-05,30,1.09800005,2,0.050913777464271934,58234.307338,0.050913777464271934,19.6329117,19.6329117
69,793110400000661,48032980,2458234.83195494,58234.3298032,19.5584717,0.0976708829,0,zg,226.8302264,55.7472157,0.540000021,0.127000004,20180426329792,793,0xa,0x4,20.6299992,26.1657162,0.0396538526,-0.0332602747,4.1967236e-05,30,1.08000004,3,0.05452696433498607,58234.3298032,0.05452696433498607,19.558471700000005,19.558471700000005
70,793110400000661,48035388,2458234.8560402114,58234.3538889,19.3839607,0.0854537934,0,zg,226.8302549,55.7472025,0.600000024,-0.156000003,20180426353877,793,0xa,0x4,20.1000004,25.9992561,0.0391276926,-0.0273520928,5.46613956e-05,30,1.074,2,0.06403475024759869,58234.3538889,0.06403475024759869,19.383960699999996,19.383960699999996
71,793110400000661,48038615,2458234.8883081353,58234.3861574,19.5225258,0.0950343162,0,zg,226.8304077,55.7471441,0.731000006,-0.0309999995,20180426386146,793,0xa,0x4,20.0799999,25.9028416,0.0388363078,-0.0133632692,5.48894641e-05,30,1.08599997,2,0.056362426244486764,58234.3861574,0.056362426244486764,19.522525800000004,19.522525800000004
72,793110400000661,48038707,2458234.8892225134,58234.3870718,19.110302,0.0691310465,0,zg,226.8301646,55.7472388,1.26999998,0.0299999993,20180426387060,793,0xa,0x4,20.3199997,25.9947701,0.0372404493,-0.0251441188,4.45786391e-05,30,1.08700001,3,0.0823908910996194,58234.3870718,0.0823908910996194,19.110301999999997,19.110301999999997
73,793110400000661,48041298,2458234.915136354,58234.4129861,19.42803,0.0884013772,0,zg,226.8302147,55.7471244,0.551999986,0.108000003,20180426412975,793,0xa,0x4,20.0499992,25.7614059,0.0379827134,-0.0272413492,5.72208664e-05,30,1.11399996,2,0.061487664860824236,58234.4129861,0.061487664860824236,19.42803,19.42803
74,793110400000661,48043396,2458234.9361197646,58234.4339699,19.5019932,0.0935564712,0,zg,226.8300814,55.7472183,0.372999996,0.0700000003,20180426433935,793,0xa,0x4,20.6800003,26.1404419,0.0309562031,-0.0192165244,2.37485674e-05,30,1.14900005,2,0.05743845108733069,58234.4339699,0.05743845108733069,19.50199320000001,19.50199320000001
75,793110400000661,48131034,2458235.8124811267,58235.3103472,19.4931335,0.0929250941,0,zg,226.8301332,55.7471934,0.405000001,0.104999997,20180427310312,793,0xa,0x4,20.7099991,26.2645893,0.0337497592,-0.0294123441,3.01829114e-05,30,1.09200001,3,0.05790907128440709,58235.3103472,0.05790907128440709,19.493133499999992,19.493133499999992
76,793110400000661,48131179,2458235.813927897,58235.311794,19.7063313,0.109182388,0,zg,226.8301825,55.7472244,0.552999973,-0.101000004,20180427311748,793,0xa,0x4,20.6499996,26.2837963,0.036622934,-0.0247180667,3.59502774e-05,30,1.09099996,2,0.047584715818754744,58235.311794,0.047584715818754744,19.706331299999995,19.706331299999995
77,793110400000661,48132476,2458235.8269021683,58235.3247685,19.6012115,0.100888029,0,zg,226.8301182,55.7471366,1.32099998,-0.0920000002,20180427324722,793,0xa,0x4,20.3199997,26.2916985,0.0356824547,-0.0402254052,3.87845939e-05,30,1.08099997,2,0.05242221894983512,58235.3247685,0.05242221894983512,19.601211499999998,19.601211499999998
78,793110400000661,48134271,2458235.8448532466,58235.3427199,19.7926407,0.116397172,0,zg,226.8301208,55.7470537,0.389999986,0.0829999968,20180427342708,793,0xa,0x4,20.4500008,26.2781353,0.0348348208,-0.0275069997,3.3965629e-05,30,1.07500005,1,0.043948465915501646,58235.3427199,0.043948465915501646,19.7926407,19.7926407
79,793110400000661,48134363,2458235.845767614,58235.3436343,19.5847569,0.0996388793,0,zg,226.8301001,55.7472262,0.379999995,-0.0529999994,20180427343623,793,0xa,0x4,20.4400005,26.2762585,0.0314657427,-0.0295171551,2.82112705e-05,30,1.07500005,3,0.05322274134406277,58235.3436343,0.05322274134406277,19.584756899999995,19.584756899999995
80,793110400000661,48134454,2458235.8466818966,58235.3445486,19.3793678,0.0851518437,0,zg,226.8302019,55.7472193,0.995999992,-0.128999993,20180427344549,793,0xa,0x4,20.3999996,26.2718697,0.0336061381,-0.0226972438,3.3102704e-05,30,1.07500005,2,0.06430620490265761,58235.3445486,0.06430620490265761,19.379367800000004,19.379367800000004
81,793110400000661,48137325,2458235.8753850684,58235.3732523,19.414402,0.0874800608,0,zg,226.8302381,55.7471939,0.779999971,-0.238999993,20180427373241,793,0xa,0x4,20.4400005,26.2689133,0.0381915644,-0.0264769681,4.08847591e-05,30,1.08000004,2,0.06226431291029121,58235.3732523,0.06226431291029121,19.414402000000003,19.414402000000003
